[00:00:00] 去大厂面是AI架构港
[00:03:43] 记忆真的不是简单地把聊天记录
[00:03:46] 找个数据库统丢进去就完事了
[00:03:48] 一套合格的记忆系统
[00:03:50] 核心任务是协助智能体
[00:03:52] 把那些灵散的原始交户
[00:03:54] 沉电转化成可以随时调用的经验
[00:03:56] 以及可以执行的知识体系
[00:03:58] 要想实现这个目标
[00:04:00] 我们在工程设计上必须死和三个维度
[00:04:02] 一个是读写策略
[00:04:04] 我们要根据数据的一构属性进行分流
[00:04:07] 决定什么样的数据该存到哪里
[00:04:09] 什么时候用什么样的方式读出来
[00:04:11] 绝对不能在搞一锅盾的粗暴设计了
[00:04:13] 另一个是时态管理
[00:04:15] 我们要让系统建立起对状态变更的名为感知
[00:04:18] 能精准的区分
[00:04:20] 哪些是已经成为历史的过去完成时
[00:04:22] 哪些是代表当前最新事实的现在进行时
[00:04:26] 还有一个是经验辅用
[00:04:28] 我们要把用户和AI之间那些有价值的灵散的对话
[00:04:31] 转移并固化成标准的操作流程
[00:04:34] 只有这样才能负与智能体
[00:04:36] 越用越聪明不断自我进化的底层能力
[00:04:38] 顺着刚才说的三个设计维度
[00:04:40] 我们经过多次项目迭代
[00:04:42] 总结出了一套非常使用的四层记忆价格体系
[00:04:45] 你可以把它想象成
[00:04:47] 我们人类大脑的存处机制
[00:04:49] 分工机器明确各私其值
[00:04:51] 我们可以把它横向切成两大模块
[00:04:54] 首先是灵散交互成
[00:04:56] 它是类传级别的
[00:04:57] 专门用来处理那些变化几块
[00:04:59] 生命周期很短
[00:05:00] 不需要长就保存的灵散信息
[00:05:02] 这里面包含了第一层的会话元素巨
[00:05:04] 以及第二层的华动窗口
[00:05:06] 接着是核心状态层
[00:05:08] 它是需要写入硬盘做持久化存处的
[00:05:10] 负责维护智能体的长期核心认知
[00:05:13] 这里面又分成了第三层的用户结构化党案卡
[00:05:16] 和第四层的近期对话再要
[00:05:18] 通过这种分层
[00:05:19] 我们把不同诉求的数据完美格离开
[00:05:21] 徹底告别了以前单一项料数据库
[00:05:24] 带来的存处混亂
[00:05:25] 好我们先来迫习第一大模块
[00:05:27] 也就是灵散交互成
[00:05:29] 这层在设计上的核心要求就是四个字
[00:05:32] 轻亮高效
[00:05:33] 我们来看看这里面的第一层
[00:05:35] 会话元素巨
[00:05:36] 它完全是注留在类传里的
[00:05:38] 比如当前这次聊天的三层ID
[00:05:40] 用户是从微信进来的
[00:05:41] 还是从官网进来的渠道来源标记
[00:05:44] 或者是当前对话的灵散控制屏正
[00:05:46] 我们的处理策略是随用随气
[00:05:48] 绝对不占用宝贵的数据库
[00:05:50] 存处去吃酒化它们
[00:05:51] 以此来保证整个系统运行的极智轻亮
[00:05:54] 紧接着的第二层是滑动窗口
[00:05:57] 它冲断的是大模型的短期工作记忆
[00:05:59] 因为大模型的康太子温度
[00:06:01] 也就是上下文窗口是有限的
[00:06:03] 而且随着自速变多偷肯的费用也会标升
[00:06:06] 所以我们只在这个窗口里
[00:06:08] 保留最近几轮的原始交户
[00:06:10] 我们的策略是严格制行先进先出原则
[00:06:12] 一旦新的对话进来
[00:06:14] 导致总长度触碰了设定的最大上限
[00:06:16] 系统就会默默地把最老的那一轮历史丢起掉
[00:06:19] 这样继保证了聊天不中断
[00:06:21] 又把上下文控制在了一个非常高兴价比的区间
[00:06:24] 那么那些需要藏期记住的
[00:06:26] 高频的关键信息该怎么处理呢
[00:06:28] 这就需要依靠核心状态层来斗地了
[00:06:31] 来看第三层用户结构化打案卡
[00:06:33] 比如用户的首选语言
[00:06:35] 使中文它的账号级别是VIP客户
[00:06:38] 这些高频的静态的KV属性
[00:06:40] 我们会选择存在关系形数据库
[00:06:42] 混楼色口数据库中
[00:06:44] 关键在于我们读取这些核心数据时
[00:06:47] 完全繞过了相量检索
[00:06:48] 我们直接通过精准的KW6方式去读取
[00:06:51] 这样就从最底层的物理层面上
[00:06:54] 彻底度觉了相量匹配可能带来的任何造生
[00:06:57] 还有第四层近期对话再要
[00:06:59] 对于那些已经操作了滑动窗口
[00:07:02] 但又包含重要业务线所的层片对话
[00:07:04] 我们不会撒护护的把原文直接存起来
[00:07:07] 我们会用一个小模型或者后台任务
[00:07:10] 把他们高度压缩体炼出核心主题核心意图和关键实体
[00:07:14] 用这种高度压缩的再要去带替融成的原始上下文
[00:07:18] 继保留了长期的语意走向
[00:07:19] 又帮我们把大模型的偷肯消耗和调文成本压到了最低
[00:07:23] 有了这套分层架构之后
[00:07:25] 在工程落地时
[00:07:26] 我们又会面临一个很极熟的挑战
[00:07:29] 大模型其实是非常脆弱的
[00:07:31] 它没有办法直接消化底层的旁大
[00:07:34] 咋乱甚至有时候互相矛盾的原始日之流
[00:07:37] 为了解决这个矛盾
[00:07:38] 我们必须引入一套被称为LVP的工程股价
[00:07:42] 它的核心思想就是把底层的
[00:07:44] 省基底座和上层模型读到的
[00:07:46] 即使状态做一个完美的节目
[00:07:49] 这里的L叫做Lad著也就是不可便赵本
[00:07:52] 用户的美具搜入智能体调用了什么工具
[00:07:54] 執行了什么动作
[00:07:56] 都以世界的形式单向追加到这个赵本里
[00:07:58] 它是只增不改的数据源头永远不会被覆盖
[00:08:02] 这就保证了任何一次决策都可以安全回数
[00:08:05] 中间的P叫做Police也就是控制策略
[00:08:08] 它就像一个经密的蓝阶网
[00:08:10] 定义了记忆在什么场景下能写
[00:08:12] 什么规则下能读
[00:08:13] 以及预到隐私数据时该怎么蓝阶
[00:08:16] 最后的V叫做ViuC机任务派声试图
[00:08:19] 这就是专顾大模型读取的状态卡片
[00:08:21] Police策略会根据当前的具体任务
[00:08:24] 从不可便赵本中动态的体曲边
[00:08:26] 聚合出最干净最相关的试图
[00:08:29] 直接抵给大模型
[00:08:31] 引入了LVP股家之后
[00:08:32] 你在做企业几开发时
[00:08:34] 会发现很多以前觉得无解的核规和隐私问题
[00:08:37] 现在都引任而且了
[00:08:38] 比如我们经常会遇到用户或者监管部门提出这样的隐私核规要求
[00:08:42] 我想助销账号或者请把我刚才输入的公司机密密码
[00:08:45] 银行卡号在系统里徹底操除
[00:08:48] 这时候传统的架构就很尴尬
[00:08:50] 如果你去抵层的物理账本里应该应三不仅开发成本机构
[00:08:54] 而且会直接破坏整个系统抵层审机的完整性
[00:08:57] 万一以后除了安全事故
[00:08:59] 你连查都没法查
[00:09:00] 但如果我们采用LVP枷构
[00:09:02] 这个问题就变得有雅机了
[00:09:03] 抵层的脸着也就是包含原始敏感对话的赞本
[00:09:07] 我们完全不去做任何物理修改
[00:09:09] 依然保留最完整的抵层审机电条
[00:09:12] 只允许最高全现的安全审机系统访问
[00:09:15] 当上程需要生成游泽是图给智能体工作时
[00:09:19] 中间成的抹了隼策略回立可接入
[00:09:21] 它会自动执行脱米和贫币规则
[00:09:24] 把敏感资断全部替换成红色的贝责币标记
[00:09:27] 这样自能体拿到的工作上下温是绝对安全和规的
[00:09:30] 而底层的安全追溯又完毫无损
[00:09:33] 兼顾了核规与追溯
[00:09:35] 刚才我们一再提到时间维度的冲突
[00:09:37] 尤其是向用户搬家
[00:09:39] 地址变更这种极手的问题
[00:09:41] 在工程上我们是通过引入双时间扯机制来优雅破解的
[00:09:45] 简单来说就是系统里的每一条事实记录
[00:09:48] 都必须贴上两个完全不同维度的标签
[00:09:51] 帮智能体精准感知数据的声明周期
[00:09:54] 一个是系统时间在工程上叫做交易时间
[00:09:58] 它记录的是这条信息写入数据库的物理绝对使课
[00:10:01] 通常对应我们代码里的数据库创建时间资段
[00:10:05] 这个时间是只真不改用来做底层物理存处标记的
[00:10:08] 另一个是业务时间叫做有效时间
[00:10:11] 它代表的是这条客观事实
[00:10:13] 在真实的物理事件中成立了骑植时段
[00:10:16] 它是用一个时间区间段来表示的
[00:10:18] 也就是从什么时候开始生效到什么时候截植时效
[00:10:22] 有了这两个时间错底层的运行机制就变了
[00:10:25] 当一整他需要去检所某个信息时
[00:10:28] 查寻机会自动过率
[00:10:30] 强制通过有效时间走进行当前状态赛选
[00:10:33] 只调取在当前这个时刻成立的数据
[00:10:36] 刚才我们聊了半天理论
[00:10:37] 现在我们把刚才用户居住地变更的例子拿出来
[00:10:40] 实战演练一下
[00:10:42] 看看在底层代码和数据层面到底是怎么跑通的
[00:10:45] 首先第一步我们要做就状态的变换
[00:10:48] 当系统收到用户要搬家到程度的消息时
[00:10:50] 我们绝对不删除原先住在航舟的那条历史记录
[00:10:54] 相反
[00:10:54] 我们去更新那条历史记录的有效截止时间
[00:10:57] 把他的截止时刻修改为用户搬牵发生的那个绝对瞬间
[00:11:01] 这样就状态就安全比完了
[00:11:04] 接着第二步我们做新状态的开启
[00:11:06] 我们在数据库里新增一条记录
[00:11:09] 写入用户住在程度
[00:11:10] 并将这条新记录的有效其实时间
[00:11:13] 设置为当前这个时刻
[00:11:14] 最后第三步当A整他去检所用户地址的时候
[00:11:18] 查寻扫描器会自动在后台附带一个当前时间的过律系
[00:11:22] 因为当前时间只落在程度这条记录的有效时段内
[00:11:26] 所以系统只会精准匹配并招回程度这条数据
[00:11:29] 住在航舟的那条历史记录虽然还在数据库里
[00:11:32] 但因为他的有效时间已经截止了
[00:11:34] 所以绝对不会被捞出来
[00:11:36] 彻底避免了新舟状态并存导致的语异交差污染
[00:11:40] 解决了状态冲突
[00:11:41] 我们再来聊聊怎么让智能体剧备真正的高级智慧
[00:11:45] 这就不得不提程序信记忆了
[00:11:48] 我们可以用日常学开车的经历来打个笔方
[00:11:51] 我们刚去驾校学车的时候
[00:11:53] 脑子里必须时刻崩着一根闲
[00:11:55] 现在该不该采离和怎么挂挡
[00:11:58] 打方向盘要打几圈
[00:12:00] 这时候我们的每一个动作都需要经过大脑极其容长的推理和思考
[00:12:05] 但是等我们开熟练了所有的动作都变成了几入记忆
[00:12:09] 以上车就能自然启动
[00:12:11] 根本不需要在动脑子去想
[00:12:13] 我们对一阵的培养也应该遵循这个规律
[00:12:16] 当一阵的遇到一些高屏复杂的常链条任务时
[00:12:19] 比如去排查自动序废议常
[00:12:21] 处理复杂的退票规则
[00:12:23] 它一开始可能要经过七馨八绕的常链条推理
[00:12:26] 接南的调用各种工具犯错好几次才解决
[00:12:29] 这时候我们的系统会敲敲抓取
[00:12:31] 它这一次成功的决策轨记和工具调用练
[00:12:34] 经过优化和体练
[00:12:36] 把这一串复杂的流程奉装成一个独立的
[00:12:39] 可复用的 scale技能
[00:12:40] 下一次如果在遇到同类型的任务
[00:12:42] 是能体根本不需要重新去推理规划
[00:12:45] 它会直接加在这个顾化好的使用
[00:12:47] 跳过岸贵的推理过程
[00:12:49] 直接按标准步骤干活
[00:12:51] 这不仅帮我们省下了大量的调用成本
[00:12:53] 更让智能体的表现向个经验丰富的熟练工
[00:12:56] 聊到这里我们不防从一个更高的高度
[00:13:00] 来复看一下整套生产机系统设计的通关路径
[00:13:03] 购建一个高可用的A枕的机器系统
[00:13:06] 从来都不是移错而舅的
[00:13:08] 它是一个非常严谨循序建计的系统工程
[00:13:11] 如果你正准备在团队里啟动这个项目
[00:13:13] 建议也按照这个递进世的架构权警来做
[00:13:16] 我们的第一步是要明确通点
[00:13:18] 必须比气对相当酷的盲目明性
[00:13:21] 直面相当检所在精确匹配上的无奈
[00:13:24] 以及在时间维度上的盲区
[00:13:26] 紧接着的第二步我们要够住起四层防禦线
[00:13:30] 通过会话华动窗口结构化党案
[00:13:32] 近期再要则四层
[00:13:34] 把一个数据进行经济化存储和分流过率
[00:13:37] 在第三步我们要搭建几动态股价
[00:13:40] 把LVP工程模式和双时间扯机制引入进来
[00:13:44] 去优雅的解决状态冲突
[00:13:46] 持续混乱以及隐私和规的难题
[00:13:48] 只有做好了前三步的铺垫
[00:13:50] 我们才能在第四步顺利实现
[00:13:52] 必怀自我进化的终极形态
[00:13:54] 也就是层电和负用程序经济
[00:13:56] 让自能体居被向人一样的资源进能力
[00:14:00] 好了今天的内容分享到这里就接近维生了
[00:14:03] 在结束之前
[00:14:04] 我想把这句在时间中交了无数学匪才换来的赶务
[00:14:08] 送给大家一套优秀的Agin的价构
[00:14:10] 它的本质从来都不是去麻木的
[00:14:12] 无脑的堆气大模型的能力
[00:14:14] 更不是去读哪个大模型的参数更大
[00:14:16] 而是要通过我们今天讲到的
[00:14:18] 极其结构化的记忆设计
[00:14:20] 以及严谨课制的工程边界
[00:14:23] 把那些混顿不可空的语意
[00:14:25] 转化为确定可靠的生产力
[00:14:27] 只有这样智能体才能真正的
[00:14:29] 在企业集生产环境里落地升根
[00:14:32] 非常感谢大家能听到最后
[00:14:34] 如果你觉得今天的应和分享
[00:14:36] 对你的开发工作
[00:14:37] 或者求之面是有所起发
[00:14:39] 欢迎点赞收藏
[00:14:40] 我们下期视频再见
