[00:00.000] 我做了一个Skill能把AI协作项目里
[05:49.920] 它经过几轮又想试一次
[05:51.720] 有些功能说好放在二期
[05:53.520] 它一会儿又提出来
[05:54.720] Rodemapp把这些决定写清楚以后
[05:56.920] 人和AI看到的是同一份路线图
[06:01.520] 项目里经常会收到外部的资料
[06:03.920] 比如假方给的业务规则
[06:05.920] 输出模板
[06:06.720] 或者一份不能改动的原始文党
[06:08.720] 你把材料给到Agent
[06:10.120] 它会放进Reference
[06:11.520] 目楼这里的规则很简单
[06:13.120] 原件只规党不改写
[06:14.920] Agent对材料的理解
[06:16.520] 以及后来形成的结论
[06:18.120] 才会进入到主题文党
[06:19.720] 这样拿句话来自原文
[06:21.320] 拿句话来自项目的判断
[06:22.920] 不会混在一起
[06:25.920] 接下来
[06:26.720] 看看项目经验是怎么留下来的
[06:28.720] 比如刚才那个非出机器人的问题
[06:30.920] 一旦找到原因并验证的结访
[06:33.120] Agent就会把结论写进对应的主题文党
[06:35.920] 如果已经有相关主题了
[06:37.520] 就在原文党你更新
[06:39.120] 所以你想知道某个主题
[06:40.520] 现在的结论看这一篇文党
[06:42.320] 就够了
[06:42.720] 格式上主题文党对其了
[06:44.720] 谷歌的开放知识格式
[06:46.320] OKF的规范
[06:47.520] 即 mark 当家
[06:48.520] YAMO from Matter
[06:49.720] 说白了这些文党
[06:50.720] 技能让人直接打开看
[06:52.320] 也方便Agent 检索和更新
[06:54.320] 不会被锁在某个特定的产品里
[06:56.320] 这是我一个真实项目里的Karen文件家
[06:59.120] 已经沉淀了一批主题文党
[07:01.120] 例如这篇文党
[07:01.920] 记录的是关于项目知识
[07:03.720] 自动保存的 no 型的结论
[07:05.520] 可以看到顶部是
[07:06.720] YAMO格式的front matter
[07:08.320] 也就是笔记的属性
[07:10.520] 跟着过程和最后确论的方案
[07:12.720] 下次再遇到相近的问题
[07:14.320] Agent 会先在这里来找
[07:16.120] 而不是等我想起了
[07:17.520] 某个舅的聊天记录
[07:21.120] 有些结论不是在聊天里
[07:22.920] 直接冒出来的
[07:23.720] 而是藏在设计文党
[07:25.120] 实施文党贫神意见
[07:26.720] 或者复盘文党里面
[07:28.120] 这些过程材料里
[07:29.120] 一旦形成了稳定的结论
[07:30.920] Agent 也会把它收进主题文党
[07:33.120] 以著名的Superpowers 为例
[07:35.120] 它会用spex、plans
[07:36.920] 帮我们细化任务
[07:38.220] 让工作做得更稳
[07:39.520] 而Care可以再从这些文党里面
[07:41.420] 提取可以长期保留的结论
[07:43.520] 一个负责可靠的完成工作
[07:45.320] 一个负责成电工作成果
[07:49.820] 主题文党你的内容首先服务
[07:51.920] 当前项目
[07:52.720] 当一条经验已经真实验证过
[07:55.120] 而且换个项目人家有用
[07:56.620] 它才适合进入长期知识库
[07:58.620] 我把这个过程叫做知识畢业
[08:00.520] Agent 可以主动提议
[08:02.020] 你也可以直接对它说
[08:03.520] 把这条经验畢业到知识库
[08:05.420] 但有一条规矩不会变
[08:06.920] 你不脸头
[08:07.620] 它就不会自动往知识库里面
[08:09.720] 你确认以后
[08:10.620] Agent 会把项目你的局部信息拉掉
[08:13.220] 整理成一篇可以独立阅读的知识笔记
[08:15.920] 在更新index
[08:17.320] 并记录清楚它来自哪个项目
[08:19.320] 如果结论后来有了变化
[08:20.920] 可以再次逼
[08:21.820] 它会更新原来的笔记
[08:23.320] 不会再负质一份几乎一样的内容
[08:25.520] 不同的知识库写法不一样
[08:27.220] 在opc 定理
[08:28.220] index 本身就是一篇笔记
[08:30.120] 知识之间可以用双链进行链接
[08:32.720] 在逃行里
[08:33.520] 数据库本身就是index
[08:35.320] 一条知识对应遗憾
[08:36.920] 而Notion 本身的属性
[08:38.220] 就可以用来存放Front Matter
[08:40.020] 到了飞书
[08:40.820] 这些内容就会进入到Wake 节点数
[08:43.020] 总之每个平台都是适配了该平台的特点
[08:46.120] 虽然内容的形势不同
[08:47.720] 但是你发起知识毕业的方式是不变的
[08:53.720] 项目做久了
[08:54.620] 知识难免会过时
[08:56.020] 有些地方也会慢慢走一样
[08:57.720] 所以Career 还有一个体检
[08:59.620] 你对Agent 说一句做个体检
[09:01.520] 它就会检查主体文党
[09:02.920] 有没有相互打架
[09:04.020] 练结有没有失效
[09:05.420] 哪些经验一直压在项目里没有处理
[09:10.620] 最后是知识回流
[09:11.920] Agent 动手前
[09:13.020] 先找一找这件事
[09:14.320] 有没有现成的结论
[09:15.720] 如果项目里有对应的主体文党
[09:17.720] 就直接使用
[09:18.720] 如果项目里没有
[09:19.820] 再到知识库里面去查index
[09:21.820] 真正用上的知识
[09:23.020] 会在City 的点MD 技条摘药
[09:25.820] 和放一个指向知识库的指针
[09:28.020] 不负质全文
[09:29.020] 让过去的经验
[09:30.020] 在新的工作里直接拍上用场
[09:31.820] 久不者玩
[09:32.620] 我们回顾一下
[09:33.620] 日常的舞步由Agent 自动完成
[09:35.920] 记落个
[09:36.620] 维护肉的Map
[09:37.620] 成电主题
[09:38.620] 从过程文党里去结论
[09:40.320] 以及开工前
[09:41.220] 查找就的经验
[09:42.320] 你主要在出实话
[09:43.720] 这是毕业和体检时把把关
[09:45.920] 一句话总结
[09:46.820] 你平时还是照常的
[09:48.120] 跟Agent 推项目
[09:49.420] 经验会自动留下来
[09:53.420] 说到这里
[09:54.020] 你可能会问
[09:54.920] Project care
[09:55.920] 和capacity大声的
[09:57.120] LM 危体有什么区别
[09:58.920] 要回答这个问题
[09:59.920] 我们可以把
[10:00.620] 计知识分成三种方式来看
[10:03.020] 传统笔记特点是高体感
[10:05.020] 高主力
[10:05.720] 体感就是指这条知识
[10:07.220] 跟你的连接有多深
[10:08.720] 主力就是指你把它记下来有多费劲
[10:11.420] 传统笔记每句话
[10:12.620] 都是自己想出来
[10:13.920] 自己写下来的
[10:14.920] 所以蓝点也在这里
[10:16.220] 你不但要在老子里
[10:17.320] 把事情想明白
[10:18.320] 还得在项目盲完以后
[10:19.920] 专门留时间去整理
[10:21.320] 大多数时候
[10:22.120] 不是记不起
[10:22.920] 是真的记不动
[10:23.920] 以LM 危体为代表的
[10:25.820] AI自动生成笔记
[10:27.220] 特点是主力很低
[10:28.520] 但往往体感也低
[10:29.920] 你给它一批资料
[10:31.020] 它会自动拆解成
[10:32.220] 很多篇相互连接的危体文档
[10:34.420] 短时间里
[10:35.120] 知识库就能迅速地变大
[10:36.720] 我以前的视频你也演识过
[10:38.520] 看这一堆笔记瞬间爆出来
[10:40.320] 确实很爽
[10:41.120] 但我后来冷静下来发现
[10:42.720] 偷肯烧了不少
[10:43.720] 笔记也多了
[10:44.620] 可有些原始资料
[10:45.620] 我根本没有认真读过
[10:47.120] 它只是从一个文件家
[10:48.720] 搬到了更多的markdown里面
[10:50.420] 这就有点像
[10:51.320] 顾了一个机器人
[10:52.320] 替你跑步
[10:53.120] 他每天跑时工里
[10:54.220] 你站在旁边看数据
[10:55.520] 自己的身体
[10:56.320] 并没有因此变得更好
[10:57.720] 教程内的资料
[10:58.620] 还有另外一个问题
[10:59.620] 人文可能按照一条故事线
[11:01.620] 从基础一步一步讲到进接
[11:03.620] 但是当拆解成了很多原子笔记以后
[11:06.320] 单篇看起来都很完整
[11:07.820] 你却不知道该从哪篇开始
[11:09.620] 所以对我来说
[11:10.620] LM为体更像一个自动生成的
[11:12.820] 四有百科
[11:13.620] 我会用它整理资料
[11:14.620] 但不会拿它期待自己的学习过程
[11:16.820] Project Care 的经验来自你
[11:19.020] 轻身参与过的项目
[11:20.320] 日常记录主要由Edgent 完成
[11:22.420] 所以是高提感
[11:23.720] 低阻力
[11:24.320] Project Care 的来源
[11:25.820] 不是一批人进去的资料
[11:27.420] 而是你正在参与的项目
[11:28.920] 一条知识之所以出现
[11:30.420] 是因为你真的碰到了问题
[11:32.120] 你和Edgent 一起做个判断
[11:33.920] 也看到了最后的结果
[11:35.320] 所以你再看到这条笔记时
[11:37.020] 你会知道当时它为什么会有
[11:38.920] 以及它有什么作用
[11:40.120] 如果说LM为体整理的是
[11:42.120] 给到的资料
[11:43.020] Project Care 成电的就是做过的事情
[11:48.320] 现在我已经把Project Care 作为了基础设施
[11:51.620] 我觉得除了我自己
[11:52.820] 对大多数的人
[11:53.620] 应该也会很有用
[11:54.720] 所以我把它开源了出来
[11:56.220] 如果你经常和Edgent 搭档做项目
[11:58.520] 无论个人还是团队
[11:59.820] 它就是为你准备的
[12:00.920] 如果你希望做完的项目
[12:02.320] 变成长期资产
[12:03.420] 而不是做完就散
[12:04.620] 它也正是你需要的
[12:05.820] 不仅是软件开发
[12:07.020] 像法律
[12:07.720] 諮詢 策划
[12:08.720] 这些支持密集型工作
[12:10.220] 一样会在过程中
[12:11.420] 展下大量的值得留住的经验
[12:13.520] 我希望Project Care 能帮你
[12:15.420] 在做完四的同时
[12:16.820] 顺手把经验留下来
[12:18.320] 这些经验不仅可以戴到新的项目里
[12:20.520] 等你写数值做复盘的时候
[12:22.520] 也能直接从里面去找到素材
[12:24.720] 看看自己这段时间到底做了什么
[12:26.720] 又击累了什么
[12:27.720] 这个SKU未经反复改了很多轮
[12:29.920] 里面还有很多小设计
[12:31.220] 这里就不全部展开了
[12:32.620] 留给你自己去发现
[12:34.120] 欢迎你来使用
[12:35.120] 并提出意见
[12:35.920] 我们一起来贡献贡创
[12:37.720] 也欢迎留下点赞
[12:38.920] 关注我会继续分享
[12:40.320] AI加支持管理的更多时间
[12:42.220] 我们下期接着聊
